Order_ID,Trade_ID,Order_Date,Trade_Date,Trader,Security,Side,Quantity,Order_Price,Execution_Price,Order_Status,Settlement_Status,Settlement_Date,Exception_Status,Exception_Severity,Trade_Value
ORD001,TRD001,2026-07-01,2026-07-01,Rahul,RELIANCE,BUY,100,1450,1452,Executed,Settled,2026-07-02,None,None,145200
ORD002,TRD002,2026-07-01,2026-07-01,Amit,TCS,BUY,50,3500,3510,Executed,Settled,2026-07-02,None,None,175500
ORD003,TRD003,2026-07-01,2026-07-01,Neha,INFY,SELL,75,1580,1575,Executed,Settled,2026-07-02,None,None,118125
ORD004,,2026-07-02,,Rahul,HDFCBANK,BUY,200,1720,,Rejected,Not Applicable,,Open,High,0
ORD005,TRD005,2026-07-02,2026-07-02,Amit,ICICIBANK,BUY,150,1250,1255,Executed,Pending,,Open,Medium,188250
ORD006,TRD006,2026-07-03,2026-07-03,Neha,SBIN,SELL,100,820,818,Executed,Settled,2026-07-04,None,None,81800
ORD007,,2026-07-03,,Rahul,ITC,BUY,300,450,,Cancelled,Not Applicable,,None,None,0
ORD008,TRD008,2026-07-04,2026-07-04,Amit,LT,BUY,80,3650,3660,Executed,Settled,2026-07-05,None,None,292800
ORD009,TRD009,2026-07-04,2026-07-04,Neha,AXISBANK,SELL,120,1180,1175,Executed,Failed,,Open,Critical,141000
ORD010,TRD010,2026-07-05,2026-07-05,Rahul,RELIANCE,BUY,50,1460,1465,Executed,Settled,2026-07-06,None,None,73250
ORD011,TRD011,2026-07-05,2026-07-05,Amit,TCS,SELL,25,3540,3535,Executed,Settled,2026-07-06,None,None,88375
ORD012,,2026-07-06,,Neha,INFY,BUY,100,1600,,Rejected,Not Applicable,,Open,Medium,0
ORD013,TRD013,2026-07-06,2026-07-06,Rahul,HDFCBANK,BUY,75,1730,1728,Executed,Pending,,Open,Medium,129600
ORD014,TRD014,2026-07-07,2026-07-07,Amit,ICICIBANK,SELL,100,1260,1258,Executed,Settled,2026-07-08,None,None,125800
ORD015,TRD015,2026-07-07,2026-07-07,Neha,SBIN,BUY,200,825,828,Executed,Settled,2026-07-08,None,None,165600
ORD016,,2026-07-08,,Rahul,ITC,SELL,150,455,,Cancelled,Not Applicable,,None,None,0
ORD017,TRD017,2026-07-08,2026-07-08,Amit,LT,BUY,60,3670,3680,Executed,Settled,2026-07-09,None,None,220800
ORD018,TRD018,2026-07-09,2026-07-09,Neha,AXISBANK,BUY,90,1190,1192,Executed,Failed,,Open,High,107280
ORD019,TRD019,2026-07-09,2026-07-09,Rahul,RELIANCE,SELL,80,1470,1468,Executed,Settled,2026-07-10,None,None,117440
ORD020,TRD020,2026-07-10,2026-07-10,Amit,TCS,BUY,40,3550,3560,Executed,Settled,2026-07-11,None,None,142400
